pump_id,month,maintenance_cost_usd,energy_cost_usd,parts_cost_usd,total_cost_usd
P-01,2024-01,4117.09,3785.67,159.47,8062.23
P-02,2024-01,2326.19,1940.16,1945.87,6212.22
P-03,2024-01,5909.61,3401.65,882.02,10193.28
P-04,2024-01,3341.0,4173.22,1588.69,9102.91
P-05,2024-01,4050.21,3451.04,2043.48,9544.73
P-06,2024-01,5241.49,5815.37,658.74,11715.6
P-07,2024-01,614.47,1660.6,798.53,3073.6
P-08,2024-01,713.61,1954.64,679.4,3347.65
P-09,2024-01,5037.72,4721.2,1175.72,10934.64
P-10,2024-01,990.17,4802.66,2638.58,8431.41
P-11,2024-01,2292.48,2425.67,2357.18,7075.33
P-12,2024-01,2911.54,2795.97,1788.94,7496.45
P-01,2024-01,5924.28,1924.09,1509.72,9358.09
P-02,2024-01,5663.68,3645.41,915.97,10225.06
P-03,2024-01,7272.01,2573.79,945.34,10791.14
P-04,2024-01,741.75,2343.05,2699.61,5784.41
P-05,2024-01,1306.3,1557.31,1423.8,4287.41
P-06,2024-01,2805.62,2298.82,791.5,5895.94
P-07,2024-01,800.42,4556.41,2559.27,7916.1
P-08,2024-01,4833.24,5862.94,1749.48,12445.66
P-09,2024-01,4008.8,2613.8,328.16,6950.76
P-10,2024-01,6587.63,4052.7,2971.24,13611.57
P-11,2024-01,6715.8,3863.71,501.91,11081.42
P-12,2024-01,1343.35,1922.6,913.81,4179.76
P-01,2024-03,5942.25,3536.77,2204.45,11683.47
P-02,2024-03,7920.39,2658.03,1459.48,12037.9
P-03,2024-03,3041.46,1561.02,1057.88,5660.36
P-04,2024-03,5739.23,5511.18,2323.58,13573.99
P-05,2024-03,6884.26,5559.75,1787.23,14231.24
P-06,2024-03,1079.54,4586.03,2184.65,7850.22
P-07,2024-03,361.67,5903.87,2568.8,8834.34
P-08,2024-03,5343.06,2137.35,1493.5,8973.91
P-09,2024-03,2106.07,4834.56,2919.87,9860.5
P-10,2024-03,3003.48,4849.64,581.53,8434.65
P-11,2024-03,7647.55,4374.3,2896.36,14918.21
P-12,2024-03,7041.72,4554.61,2697.66,14293.99
P-01,2024-03,3704.3,5812.38,1580.72,11097.4
P-02,2024-03,2269.41,4555.8,2663.98,9489.19
P-03,2024-03,3250.0,3377.82,2981.83,9609.65
P-04,2024-03,2612.72,1684.95,1560.23,5857.9
P-05,2024-03,2877.54,4255.65,1300.38,8433.57
P-06,2024-03,3749.22,5856.69,2377.02,11982.93
P-07,2024-03,2449.59,5862.61,1496.78,9808.98
P-08,2024-03,5547.11,3598.43,450.68,9596.22
P-09,2024-03,7740.04,4307.08,1992.96,14040.08
P-10,2024-03,2568.44,2797.17,2399.36,7764.97
P-11,2024-03,321.62,1684.29,849.05,2854.96
