pump_id,date,status,load_pct,assigned_process,run_hours_cumulative
P-01,2025-06-01,Running,90.2,Process B,31.0
P-02,2025-06-01,Running,94.3,Process A,61.5
P-03,2025-06-01,Standby,0,Process C,0
P-04,2025-06-01,Running,76.7,Process C,25.2
P-05,2025-06-01,Running,68.1,Process C,22.3
P-06,2025-06-01,Running,74.8,Process C,57.1
P-07,2025-06-01,Running,70.7,Process C,50.7
P-08,2025-06-01,Running,62.9,Process C,57.1
P-09,2025-06-01,Running,79.2,Process B,34.4
P-10,2025-06-01,Standby,0,Process A,0
P-11,2025-06-01,Standby,0,Process C,0
P-12,2025-06-01,Running,100.0,Process B,67.4
P-01,2025-06-02,Running,88.2,Process B,67.4
P-02,2025-06-02,Running,91.0,Process B,43.2
P-03,2025-06-02,Running,72.3,Process B,45.7
P-04,2025-06-02,Running,63.9,Process C,43.4
P-05,2025-06-02,Running,96.6,Process B,34.9
P-06,2025-06-02,Running,94.6,Process C,25.9
P-07,2025-06-02,Running,97.4,Process C,56.9
P-08,2025-06-02,Running,67.8,Process A,38.5
P-09,2025-06-02,Running,80.0,Process C,68.9
P-10,2025-06-02,Running,90.5,Process B,70.2
P-11,2025-06-02,Running,79.6,Process A,57.6
P-12,2025-06-02,Running,65.6,Process C,44.4
P-01,2025-06-03,Standby,0,Process C,0
P-02,2025-06-03,Maintenance,0,Process A,0
P-03,2025-06-03,Running,93.6,Process A,69.0
P-04,2025-06-03,Running,90.6,Process B,25.4
P-05,2025-06-03,Running,62.7,Process A,18.5
P-06,2025-06-03,Running,74.9,Process C,52.4
P-07,2025-06-03,Standby,0,Process B,0
P-08,2025-06-03,Running,60.6,Process C,47.8
P-09,2025-06-03,Running,81.2,Process B,46.9
P-10,2025-06-03,Running,80.1,Process C,54.4
P-11,2025-06-03,Running,96.4,Process A,67.6
P-12,2025-06-03,Running,69.6,Process C,46.4
P-01,2025-06-04,Running,70.7,Process B,22.3
P-02,2025-06-04,Standby,0,Process B,0
P-03,2025-06-04,Running,99.6,Process A,34.2
P-04,2025-06-04,Running,63.2,Process C,59.0
P-05,2025-06-04,Running,75.2,Process C,43.7
P-06,2025-06-04,Running,88.1,Process A,45.0
P-07,2025-06-04,Running,91.4,Process C,70.8
P-08,2025-06-04,Standby,0,Process C,0
P-09,2025-06-04,Standby,0,Process A,0
P-10,2025-06-04,Running,94.7,Process C,43.7
P-11,2025-06-04,Running,63.0,Process B,66.6
P-12,2025-06-04,Running,61.3,Process B,18.8
P-01,2025-06-05,Running,65.8,Process C,62.3
P-02,2025-06-05,Standby,0,Process B,0
P-03,2025-06-05,Running,69.6,Process B,54.6
P-04,2025-06-05,Running,75.4,Process C,25.6
P-05,2025-06-05,Maintenance,0,Process C,0
P-06,2025-06-05,Running,89.8,Process B,20.9
P-07,2025-06-05,Running,93.5,Process B,50.7
P-08,2025-06-05,Running,83.8,Process B,19.6
P-09,2025-06-05,Running,99.7,Process B,30.3
P-10,2025-06-05,Running,75.0,Process A,54.7
P-11,2025-06-05,Running,63.4,Process C,34.0
P-12,2025-06-05,Running,62.9,Process B,26.3
P-01,2025-06-06,Running,85.4,Process C,39.0
P-02,2025-06-06,Running,63.7,Process B,42.0
P-03,2025-06-06,Running,64.1,Process A,28.1
P-04,2025-06-06,Running,82.2,Process B,23.6
P-05,2025-06-06,Running,82.2,Process C,50.3
P-06,2025-06-06,Running,75.4,Process B,40.3
P-07,2025-06-06,Running,89.0,Process C,66.9
P-08,2025-06-06,Maintenance,0,Process C,0
P-09,2025-06-06,Running,87.4,Process A,25.5
P-10,2025-06-06,Running,79.7,Process A,27.0
P-11,2025-06-06,Running,72.0,Process A,37.5
P-12,2025-06-06,Standby,0,Process C,0
P-01,2025-06-07,Running,83.8,Process A,42.7
P-02,2025-06-07,Running,60.3,Process B,35.9
P-03,2025-06-07,Running,92.2,Process B,41.8
P-04,2025-06-07,Running,92.9,Process C,70.6
P-05,2025-06-07,Running,72.8,Process C,28.8
P-06,2025-06-07,Running,98.6,Process B,33.7
P-07,2025-06-07,Running,79.6,Process C,60.2
P-08,2025-06-07,Running,71.2,Process B,37.7
P-09,2025-06-07,Standby,0,Process A,0
P-10,2025-06-07,Running,81.8,Process C,59.5
P-11,2025-06-07,Running,89.1,Process C,29.3
P-12,2025-06-07,Running,93.3,Process A,62.2
P-01,2025-06-08,Running,76.4,Process B,25.5
P-02,2025-06-08,Running,70.1,Process A,56.6
P-03,2025-06-08,Running,63.0,Process C,43.9
P-04,2025-06-08,Running,80.3,Process C,40.6
P-05,2025-06-08,Running,98.7,Process C,66.4
P-06,2025-06-08,Running,85.5,Process A,23.9
P-07,2025-06-08,Running,86.6,Process A,52.9
P-08,2025-06-08,Running,99.3,Process C,52.9
P-09,2025-06-08,Standby,0,Process B,0
P-10,2025-06-08,Standby,0,Process B,0
P-11,2025-06-08,Running,63.9,Process A,45.6
P-12,2025-06-08,Running,83.2,Process C,29.9
