pump_id,measurement_point,baseline_mms,alert_threshold_mms,alarm_threshold_mms,trip_threshold_mms,standard,baseline_date
P-01,Drive End Horizontal,3.53,5.29,8.82,14.12,ISO 10816-7,2025-01-15
P-01,Drive End Vertical,2.17,3.25,5.42,8.68,ISO 10816-7,2025-01-15
P-01,Drive End Axial,1.93,2.9,4.83,7.72,ISO 10816-7,2025-01-15
P-01,Non-Drive End Horizontal,1.84,2.76,4.6,7.36,ISO 10816-7,2025-01-15
P-01,Non-Drive End Vertical,2.65,3.97,6.62,10.6,ISO 10816-7,2025-01-15
P-01,Non-Drive End Axial,1.82,2.73,4.55,7.28,ISO 10816-7,2025-01-15
P-02,Drive End Horizontal,3.65,5.47,9.12,14.6,ISO 10816-7,2025-01-15
P-02,Drive End Vertical,3.38,5.07,8.45,13.52,ISO 10816-7,2025-01-15
P-02,Drive End Axial,3.72,5.58,9.3,14.88,ISO 10816-7,2025-01-15
P-02,Non-Drive End Horizontal,3.91,5.87,9.78,15.64,ISO 10816-7,2025-01-15
P-02,Non-Drive End Vertical,2.53,3.79,6.32,10.12,ISO 10816-7,2025-01-15
P-02,Non-Drive End Axial,2.62,3.93,6.55,10.48,ISO 10816-7,2025-01-15
P-03,Drive End Horizontal,1.81,2.71,4.53,7.24,ISO 10816-7,2025-01-15
P-03,Drive End Vertical,2.82,4.23,7.05,11.28,ISO 10816-7,2025-01-15
P-03,Drive End Axial,2.94,4.41,7.35,11.76,ISO 10816-7,2025-01-15
P-03,Non-Drive End Horizontal,3.15,4.72,7.88,12.6,ISO 10816-7,2025-01-15
P-03,Non-Drive End Vertical,3.94,5.91,9.85,15.76,ISO 10816-7,2025-01-15
P-03,Non-Drive End Axial,2.3,3.45,5.75,9.2,ISO 10816-7,2025-01-15
P-04,Drive End Horizontal,3.33,5.0,8.32,13.32,ISO 10816-7,2025-01-15
P-04,Drive End Vertical,2.06,3.09,5.15,8.24,ISO 10816-7,2025-01-15
P-04,Drive End Axial,2.16,3.24,5.4,8.64,ISO 10816-7,2025-01-15
P-04,Non-Drive End Horizontal,2.24,3.36,5.6,8.96,ISO 10816-7,2025-01-15
P-04,Non-Drive End Vertical,1.71,2.56,4.28,6.84,ISO 10816-7,2025-01-15
P-04,Non-Drive End Axial,2.9,4.35,7.25,11.6,ISO 10816-7,2025-01-15
P-05,Drive End Horizontal,3.68,5.52,9.2,14.72,ISO 10816-7,2025-01-15
P-05,Drive End Vertical,3.15,4.72,7.88,12.6,ISO 10816-7,2025-01-15
P-05,Drive End Axial,3.34,5.01,8.35,13.36,ISO 10816-7,2025-01-15
